"state","area_of_expenditure","broad_source_of_funding","detailed_source_of_funding","real_expenditure_millions","financial_year"
"QLD","Public health","Government","State and local",122,2000
"QLD","Public health","Non-government","Other non-government",12,2000
"QLD","Public hospitals","Government","Australian Government",1883,2000
"QLD","Public hospitals","Non-government","Individuals",7,2000
"QLD","Public hospitals","Non-government","Other non-government",102,2000
"QLD","Public hospitals","Non-government","Private health insurance funds",29,2000
"QLD","Research","Government","Australian Government",182,2000
"QLD","Research","Government","State and local",27,2000
"QLD","Research","Non-government","Other non-government",14,2000
"WA","Administration","Government","Australian Government",140,2000
"WA","Administration","Government","State and local",122,2000
"WA","Administration","Non-government","Private health insurance funds",81,2000
"WA","Aids and appliances","Government","Australian Government",21,2000
"WA","Aids and appliances","Non-government","Individuals",150,2000
"WA","Aids and appliances","Non-government","Other non-government",6,2000
"WA","Aids and appliances","Non-government","Private health insurance funds",24,2000
"WA","All other medications","Government","Australian Government",10,2000
"WA","All other medications","Non-government","Individuals",289,2000
"WA","All other medications","Non-government","Other non-government",9,2000
"WA","All other medications","Non-government","Private health insurance funds",4,2000
"WA","Benefit-paid pharmaceuticals","Government","Australian Government",379,2000
"WA","Benefit-paid pharmaceuticals","Non-government","Individuals",72,2000
"WA","Capital expenditure","Government","Australian Government",11,2000
"WA","Capital expenditure","Government","State and local",0,2000
"WA","Capital expenditure","Non-government","Other non-government",103,2000
"WA","Community health","Government","Australian Government",59,2000
"WA","Community health","Government","State and local",311,2000
"WA","Community health","Non-government","Other non-government",1,2000
"WA","Community health","Non-government","Private health insurance funds",0,2000
"WA","Dental services","Government","Australian Government",63,2000
"WA","Dental services","Government","State and local",64,2000
"WA","Dental services","Non-government","Individuals",311,2000
"WA","Dental services","Non-government","Other non-government",2,2000
"WA","Dental services","Non-government","Private health insurance funds",109,2000
"WA","Medical expense tax rebate","Government","Australian Government",19,2000
"WA","Medical expense tax rebate","Non-government","Individuals",-19,2000
"WA","Medical services","Government","Australian Government",1156,2000
"WA","Medical services","Non-government","Individuals",142,2000
"WA","Medical services","Non-government","Other non-government",93,2000
"WA","Medical services","Non-government","Private health insurance funds",52,2000
"WA","Other health practitioners","Government","Australian Government",75,2000
"WA","Other health practitioners","Non-government","Individuals",20,2000
"WA","Other health practitioners","Non-government","Other non-government",46,2000
"WA","Other health practitioners","Non-government","Private health insurance funds",42,2000
"WA","Patient transport services","Government","Australian Government",21,2000
"WA","Patient transport services","Government","State and local",39,2000
"WA","Patient transport services","Non-government","Individuals",16,2000
"WA","Patient transport services","Non-government","Other non-government",6,2000
"WA","Patient transport services","Non-government","Private health insurance funds",12,2000
"WA","Private hospitals","Government","Australian Government",239,2000
"WA","Private hospitals","Non-government","Individuals",99,2000
"WA","Private hospitals","Non-government","Other non-government",131,2000
"WA","Private hospitals","Non-government","Private health insurance funds",291,2000
"WA","Public health","Government","Australian Government",57,2000
"WA","Public health","Government","State and local",90,2000
"WA","Public health","Non-government","Other non-government",5,2000
"WA","Public hospitals","Government","Australian Government",973,2000
"WA","Public hospitals","Government","State and local",1119,2000
"WA","Public hospitals","Non-government","Individuals",34,2000
"WA","Public hospitals","Non-government","Other non-government",56,2000
"WA","Public hospitals","Non-government","Private health insurance funds",27,2000
"WA","Research","Government","Australian Government",120,2000
"WA","Research","Government","State and local",19,2000
"WA","Research","Non-government","Other non-government",11,2000
"SA","Administration","Government","Australian Government",124,2000
"SA","Administration","Government","State and local",13,2000
"SA","Administration","Non-government","Private health insurance funds",73,2000
"SA","Aids and appliances","Government","Australian Government",16,2000
"SA","Aids and appliances","Non-government","Individuals",120,2000
"SA","Aids and appliances","Non-government","Other non-government",4,2000
"SA","Aids and appliances","Non-government","Private health insurance funds",18,2000
"SA","All other medications","Government","Australian Government",9,2000
"SA","All other medications","Non-government","Individuals",251,2000
"SA","All other medications","Non-government","Other non-government",3,2000
"SA","All other medications","Non-government","Private health insurance funds",3,2000
"SA","Benefit-paid pharmaceuticals","Government","Australian Government",378,2000
"SA","Benefit-paid pharmaceuticals","Non-government","Individuals",64,2000
"SA","Capital expenditure","Government","Australian Government",11,2000
"SA","Capital expenditure","Government","State and local",0,2000
